industry,year,quantity_change
Agriculture_Forestry_Fishing_Hunting,1954,1.0311287477954143
111CA,1954,1.0361419819597943
113FF,1954,0.9686852570666539
Mining,1954,1.0172852632257232
211,1954,1.0147458345765479
212,1954,0.974204806579243
213,1954,1.117053858220662
22,1954,1.0555540830660766
23,1954,1.0588600232648313
Manufacturing,1954,0.9713127426392276
Durable_Goods,1954,0.9540778407979659
321,1954,0.9812644395352367
327,1954,0.9690117436088089
331,1954,0.9498052041748833
332,1954,0.8248962518938147
333,1954,0.9108075086082418
334,1954,1.066536203522505
335,1954,0.9896774501156221
3361MV,1954,0.9557302542685174
3364OT,1954,1.1511449932301172
337,1954,0.9464271285048615
339,1954,0.9656226126814362
Nondurable_Goods,1954,0.9893409482880487
311FT,1954,1.0004426125204016
313TT,1954,0.937777152869411
315AL,1954,1.0189778285022646
322,1954,1.0114407785426063
323,1954,1.0645671037675695
324,1954,1.0177562550443906
325,1954,0.9329157738585792
326,1954,0.9042109740535941
42,1954,1.0649420641336567
44RT,1954,0.9859875349237052
441,1954,0.0
445,1954,0.0
452,1954,0.0
4A0,1954,0.0
Transportation_Warehousing,1954,0.8828560519282168
481,1954,0.0
482,1954,0.0
483,1954,0.0
484,1954,0.0
485,1954,0.0
486,1954,0.0
487OS,1954,0.0
493,1954,0.0
Information,1954,1.0180045011252814
511,1954,0.0
512,1954,0.0
513,1954,0.0
514,1954,0.0
Finance_Insurance_RealEstate_Rental_Leasing,1954,1.0606849975880366
Finance_Insurance,1954,1.058617559330826
521CI,1954,0.0
523,1954,0.0
524,1954,0.0
525,1954,0.0
RealEstate_Rental_Leasing,1954,1.0614779874213836
531,1954,1.060853703028092
HS,1954,0.0
ORE,1954,0.0
532RL,1954,1.069938440492476
Professional_BusinessServices,1954,1.0112812248186946
Professional_Scientific_TechnicalServices,1954,1.0391800297569844
5411,1954,0.0
5415,1954,0.0
5412OP,1954,0.0
55,1954,0.9525501141842173
Administrative_WasteManagementServices,1954,1.070020222446916
561,1954,0.0
562,1954,0.0
EducationalServices_HealthCare_SocialAssistance,1954,1.0541408852927177
61,1954,1.058829296989901
622HO,1954,1.052962962962963
621,1954,0.0
622,1954,0.0
623,1954,0.0
624,1954,0.0
Arts_Entertainment_Recreation_Accommodation_FoodServices,1954,0.9912590017382666
Arts_Entertainment_Recreation,1954,1.0169253632760897
711AS,1954,0.0
713,1954,0.0
Accommodation_FoodServices,1954,0.986675986195448
721,1954,1.0043643866053007
722,1954,0.9833688380610681
81,1954,1.01727842435094
Government,1954,0.9451465625620328
Federal,1954,0.9023665893271462
GFG,1954,0.8907566095996784
GFGD,1954,0.0
GFGN,1954,0.0
GFE,1954,1.1090319300878744
State_Local,1954,1.045189117451891
GSLG,1954,1.0443070582174137
GSLE,1954,1.0518856593802546
Private_Goods_Industries,1954,0.9885166555945715
Private_Services_Industries,1954,1.0102742432624674
Information_Communications_Technology_Industries,1954,0.0
All_Industries,1955,1.0662994696042432
Private_Industries,1955,1.075117621899059
Agriculture_Forestry_Fishing_Hunting,1955,1.0415348214031186
111CA,1955,1.032831208960989
113FF,1955,1.154186538177885
Mining,1955,1.0844668957544854
211,1955,1.0674115571512584
212,1955,1.1216614053133755
213,1955,1.045874013641835
22,1955,1.0652102950408033
23,1955,1.0841267516234558
Manufacturing,1955,1.0872241086587437
