"Chain-Type Quantity Indexes for Gross Output by Industry"
"[2009=100]" 
"Bureau of Economic Analysis" 
"Release Date: March 03, 2017"
"Line","","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"    34","  Wholesale trade",6.178,5.681,6.163,7.115,7.151,7.241,7.422,7.904,8.698,9.032,8.834,8.707,9.605,9.761,10.046,10.609,11.175,12.073,13.759,14.789,15.147,15.607,16.101,17.223,19.025,21.312,21.964,23.394,23.483,27.477,31.242,32.248,34.237,38.582,39.514,36.759,36.014,41.056,43.926,48.190,49.951,52.877,55.457,56.830,57.444,60.684,64.025,67.738,71.002,75.548,81.446
"    35","  Retail trade",18.638,19.020,19.467,22.098,21.802,22.170,23.265,22.939,25.096,25.335,25.979,25.538,27.237,27.674,27.232,29.376,30.602,31.218,33.117,34.251,33.393,33.963,33.404,33.648,34.377,36.613,37.315,38.349,35.137,40.510,42.614,42.802,42.063,47.441,45.584,43.035,44.047,45.718,50.079,50.974,55.167,57.921,59.560,60.730,60.022,62.690,65.714,70.433,73.536,77.585,81.842
"    36","    Motor vehicle and parts dealers","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    37","    Food and beverage stores","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    38","    General merchandise stores","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    39","    Other retail","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    40","  Transportation and warehousing",22.419,21.851,21.149,24.061,25.715,25.749,26.190,23.122,24.822,26.075,25.444,23.634,25.294,25.342,25.475,26.947,28.790,30.806,32.347,34.612,35.825,37.296,39.512,40.620,40.658,42.756,45.748,47.402,45.905,48.662,51.306,55.405,54.772,54.113,50.381,49.709,52.793,56.524,56.342,57.697,61.428,66.084,68.145,70.584,71.031,74.639,76.841,81.366,84.294,88.281,92.380
"    41","    Air transportation","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",13.690,15.758,18.476,21.221,25.930,29.307,31.313,30.870,31.453,34.179,36.772,37.556,37.272,40.814,43.907,50.241,45.306,53.539,43.942,54.743,60.548,66.066,72.326,79.348,89.018,94.240,97.000,100.133,97.178,100.799,103.910,110.642,116.838,125.430,133.572
"    42","    Rail transportation","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",108.539,114.248,121.714,128.175,123.763,123.061,119.850,121.829,116.255,124.047,133.721,131.981,115.558,110.471,118.707,118.988,117.978,114.515,111.261,93.773,89.858,94.845,88.242,82.754,84.875,89.349,91.558,93.165,93.623,96.471,96.265,100.461,104.076,104.473,103.814
"    43","    Water transportation","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",23.566,25.399,25.455,28.139,28.926,32.650,32.945,35.882,34.439,37.225,43.848,45.745,44.999,54.460,61.778,65.105,65.769,65.198,68.744,60.278,55.780,55.665,51.941,51.971,49.742,53.331,53.662,56.086,55.945,56.497,58.631,59.662,62.756,67.292,69.100
"    44","    Truck transportation","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",25.547,27.497,27.570,29.346,30.056,29.817,32.954,34.353,34.469,35.014,36.707,38.314,38.074,41.382,41.982,44.598,44.571,40.048,37.636,36.331,42.978,48.052,48.331,49.446,54.952,61.777,64.782,68.524,69.838,75.609,78.651,86.016,88.355,93.169,97.542
"    45","    Transit and ground passenger transportation","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",62.903,63.170,64.238,65.862,67.592,71.224,74.865,77.369,79.003,81.571,80.717,81.730,80.771,81.830,82.659,81.085,82.336,75.672,70.252,70.103,71.096,71.306,71.085,71.034,69.464,68.729,71.401,73.818,72.475,71.381,72.496,74.092,75.804,76.241,79.331
"    46","    Pipeline transportation","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",35.472,39.240,42.638,46.979,51.430,56.110,61.959,66.612,68.464,72.247,78.043,78.899,80.144,82.969,89.625,126.707,132.991,126.979,120.264,118.944,115.708,116.908,114.299,116.663,122.661,125.170,125.261,123.847,123.774,128.047,130.524,131.186,131.478,135.949,136.150
"    47","    Other transportation and support activities","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",21.720,23.078,24.588,25.850,26.324,28.347,31.460,32.066,33.276,35.967,39.405,43.314,42.432,44.789,47.474,50.576,50.007,51.735,47.801,47.371,49.596,52.455,50.208,50.690,51.504,55.462,56.915,58.530,60.925,64.010,65.374,67.148,68.608,70.704,74.259
"    48","    Warehousing and storage","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",10.043,10.814,11.176,12.006,12.222,12.063,12.593,12.894,12.918,12.992,13.980,15.251,15.010,16.277,16.869,17.605,18.119,17.367,16.911,16.142,18.627,21.254,21.138,22.525,23.802,26.502,27.115,27.844,28.725,31.492,33.469,36.428,39.620,41.499,45.869
"    49","  Information",5.344,5.435,5.654,5.797,6.015,6.278,6.665,6.785,7.207,7.379,7.751,8.009,8.274,8.531,8.793,9.306,10.002,10.464,11.320,12.473,13.083,13.901,14.837,15.313,15.643,16.706,17.961,18.620,19.462,20.872,22.298,24.440,26.413,27.352,29.078,30.531,32.234,33.169,34.291,36.010,37.135,38.772,39.989,41.255,41.560,43.241,45.832,48.535,52.196,56.392,61.557
"    50","    Publishing industries, except internet (includes software)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",16.250,16.707,17.487,19.991,20.141,20.800,21.802,22.003,21.570,22.587,23.793,24.167,23.535,24.294,25.609,28.419,30.509,30.998,31.324,31.928,34.776,37.020,37.358,40.999,44.864,47.450,49.562,51.154,51.263,53.252,56.854,60.271,64.372,70.587,79.481
"    51","    Motion picture and sound recording industries","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",21.644,21.154,22.938,23.810,24.738,26.692,26.843,25.523,26.351,28.879,29.744,30.413,31.313,35.849,38.391,39.197,41.808,40.496,45.854,48.282,50.364,53.317,54.128,57.496,57.889,59.957,62.707,61.979,63.116,64.875,71.159,74.984,80.508,85.939,87.541
