"Chain-Type Price Indexes for Gross Output by Industry"
"[2009=100]" 
"Bureau of Economic Analysis" 
"Release Date: April 19, 2018"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"    89","Government",65.928,67.061,69.365,72.334,74.780,76.858,80.182,83.882,88.005,91.863,95.688,100.021,100.000,103.152,106.289,107.912,109.887,112.319,112.998,113.928,116.806
"    90","  Federal",68.767,69.614,71.528,73.918,75.988,79.206,83.083,86.094,89.844,93.396,96.609,99.809,100.000,102.948,105.890,106.994,108.149,110.132,110.888,111.455,114.079
"    91","    General government",68.279,69.257,71.213,73.919,75.697,78.972,83.046,86.388,90.557,93.935,97.124,100.315,100.000,102.917,105.933,107.011,108.150,109.882,110.551,111.364,"114.159(u)"
"    92","      National defense",67.764,68.695,70.522,73.178,75.009,78.323,82.870,86.090,90.604,94.234,97.475,100.967,100.000,102.692,105.736,106.939,107.687,109.130,109.429,110.019,"112.429(u)"
"    93","      Nondefense",69.185,70.253,72.451,75.248,76.932,80.138,83.366,86.930,90.462,93.376,96.469,99.096,100.000,103.333,106.296,107.144,108.979,111.213,112.492,113.660,"117.059(u)"
"    94","    Government enterprises",71.583,71.572,73.210,73.607,77.558,80.362,82.719,83.080,83.396,88.347,91.736,94.994,100.000,103.272,105.393,106.786,108.130,112.875,114.612,112.433,"113.137(u)"
"    95","  State and local",64.641,65.899,68.364,71.570,74.166,75.770,78.852,82.859,87.153,91.151,95.258,100.126,100.000,103.257,106.495,108.389,110.778,113.429,114.073,115.171,118.169
"    96","    General government",64.295,65.625,68.261,71.521,74.073,75.798,78.910,82.963,87.057,91.037,95.240,100.046,100.000,103.223,106.428,108.427,110.683,113.143,113.885,115.044,"117.987(u)"
"    97","    Government enterprises",67.486,68.159,69.229,71.988,74.962,75.525,78.358,81.986,87.913,92.060,95.395,100.754,100.000,103.527,107.016,108.119,111.496,115.582,115.490,116.133,"119.545(u)"
"    98","Addenda:","","","","","","","","","","","","","","","","","","","","",""
"    99","    Private goods-producing industries [1]",78.113,76.165,76.208,78.797,78.709,78.155,81.018,85.884,91.853,96.455,100.572,108.702,100.000,105.740,114.632,115.830,116.723,117.841,109.927,107.241,111.328
"    100","    Private services-producing industries [2]",78.311,79.217,80.482,82.774,84.230,85.306,87.037,89.497,92.160,94.942,97.425,99.959,100.000,101.428,103.224,105.124,107.030,109.007,110.420,111.902,113.887
"    101","    Information-communications-technology-producing industries [3]",141.901,131.869,124.985,120.021,114.848,112.173,110.027,107.957,105.802,104.352,102.207,101.037,100.000,99.257,98.872,98.763,99.197,99.217,98.494,97.849,"..."
"Legend / Footnotes:"
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government."
"3. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services."
"(u): Underlying Detail.  All statistics for 2017 are prepared by taking the average of the corresponding quarterly series.  For annual series marked as underlying detail, the quarterly statistics on which these estimates rely are of lower quality and pass through a less rigorous review process than the higher level aggregates in which they are included."
