"Chain-Type Quantity Indexes for Gross Output by Industry"
"[2009=100]" 
"Bureau of Economic Analysis" 
"Release Date: April 19, 2018"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"    69","      Miscellaneous professional, scientific, and technical services",70.608,74.816,77.647,82.654,84.383,84.662,85.587,90.227,94.583,97.642,102.218,105.692,100.000,102.021,105.270,108.259,109.205,115.121,118.568,121.606,"123.227(u)"
"    70","    Management of companies and enterprises",77.961,83.549,86.373,87.633,88.506,88.300,92.460,94.715,100.368,103.110,107.388,107.305,100.000,106.477,114.197,124.251,129.374,139.306,145.509,146.652,150.696
"    71","    Administrative and waste management services",71.887,79.697,84.562,88.671,86.177,84.222,88.226,92.623,99.390,103.623,107.669,108.122,100.000,105.979,111.408,115.313,117.885,125.879,130.785,135.532,144.746
"    72","      Administrative and support services",71.081,78.810,83.647,88.385,85.895,83.984,88.058,92.365,99.289,103.171,107.646,108.071,100.000,105.569,111.672,116.243,119.178,127.847,133.445,138.663,"149.067(u)"
"    73","      Waste management and remediation services",78.512,86.987,92.073,90.913,88.394,86.079,89.533,94.635,100.169,107.146,107.844,108.510,100.000,109.036,109.559,108.654,108.614,111.762,111.693,113.037,"113.721(u)"
"    74","  Educational services, health care, and social assistance",66.888,69.186,70.933,73.350,77.024,81.090,84.102,86.524,89.276,91.937,94.255,97.514,100.000,102.141,104.597,107.015,108.258,110.769,115.851,119.349,123.534
"    75","    Educational services",67.484,70.183,72.815,75.728,80.077,82.609,83.943,83.685,84.767,88.427,92.697,96.246,100.000,105.457,107.527,106.897,106.900,107.868,109.809,111.069,113.643
"    76","    Health care and social assistance",66.813,69.055,70.678,73.025,76.602,80.889,84.142,86.954,89.951,92.464,94.490,97.706,100.000,101.640,104.155,107.042,108.478,111.232,116.813,120.668,125.111
"    77","      Ambulatory health care services",66.379,68.241,69.638,72.368,76.463,81.133,85.002,88.900,91.568,93.912,95.512,98.754,100.000,101.421,104.254,106.749,108.187,112.046,118.182,122.203,"126.363(u)"
"    78","      Hospitals",65.966,68.619,70.138,71.582,74.115,78.907,81.539,83.829,87.453,90.267,92.507,95.928,100.000,101.471,104.504,108.923,110.797,112.548,119.295,123.982,"129.675(u)"
"    79","      Nursing and residential care facilities",77.547,80.090,80.464,81.669,83.675,85.566,88.779,90.323,93.482,95.778,97.552,99.394,100.000,102.319,104.285,106.228,107.911,109.840,112.202,113.740,"115.907(u)"
"    80","      Social assistance",59.918,62.313,67.050,72.152,78.870,82.011,84.513,85.229,87.253,89.702,93.378,97.326,100.000,102.610,102.076,102.011,101.379,103.576,105.669,108.229,"111.866(u)"
"    81","  Arts, entertainment, recreation, accommodation, and food services",83.002,85.461,87.889,92.111,91.543,93.976,96.875,100.234,102.180,105.336,106.549,104.863,100.000,101.312,105.111,108.422,110.698,115.086,120.242,123.465,126.089
"    82","    Arts, entertainment, and recreation",74.461,76.359,78.072,79.089,80.011,83.032,87.137,90.051,91.583,97.358,102.271,102.655,100.000,100.251,103.470,106.587,109.237,112.982,116.731,119.480,126.486
"    83","      Performing arts, spectator sports, museums, and related activities",68.349,72.449,73.446,76.227,80.592,86.377,90.010,90.060,90.655,95.609,100.257,101.296,100.000,98.909,101.335,104.836,106.557,110.880,114.169,115.067,"119.802(u)"
"    84","      Amusements, gambling, and recreation industries",81.039,80.643,83.117,82.229,79.375,79.338,83.969,90.099,92.703,99.430,104.655,104.269,100.000,101.858,106.032,108.688,112.452,115.504,119.807,124.821,"134.639(u)"
"    85","    Accommodation and food services",86.047,88.702,91.382,96.736,95.639,97.863,100.330,103.847,105.941,108.160,108.052,105.634,100.000,101.679,105.678,109.057,111.206,115.812,121.444,124.828,125.967
"    86","      Accommodation",91.886,93.990,97.916,106.759,99.244,100.669,103.009,108.463,111.071,113.040,111.826,109.022,100.000,100.157,103.856,108.551,111.533,116.332,120.474,121.706,"122.723(u)"
"    87","      Food services and drinking places",83.939,86.789,89.021,93.111,94.353,96.866,99.379,102.209,104.120,106.429,106.723,104.444,100.000,102.197,106.297,109.229,111.096,115.637,121.775,125.886,"127.066(u)"
"    88","  Other services, except government",97.246,103.440,105.424,107.462,107.772,108.459,108.348,109.398,107.611,109.153,107.820,107.487,100.000,100.418,100.897,104.125,103.984,108.532,109.495,112.741,117.587
"    89","Government",78.203,79.935,81.986,83.607,86.371,89.310,90.667,92.012,92.809,94.113,95.300,97.027,100.000,100.191,98.175,97.484,95.513,95.332,96.766,97.933,98.381
"    90","  Federal",72.707,72.031,72.784,73.493,75.498,79.308,83.542,86.683,87.919,89.363,90.053,95.228,100.000,103.637,101.208,100.293,94.597,92.670,92.441,92.442,91.467
"    91","    General government",69.519,68.363,69.075,69.615,72.260,76.613,81.496,84.746,86.105,87.509,88.277,94.035,100.000,104.333,101.988,100.774,95.290,93.369,93.266,93.158,"92.287(u)"
"    92","      National defense",70.551,68.590,69.666,68.851,71.075,75.047,80.767,84.709,85.846,86.959,88.317,94.270,100.000,103.533,102.260,99.855,93.345,90.207,88.247,87.383,"86.241(u)"
"    93","      Nondefense",67.690,68.001,68.051,71.049,74.460,79.508,82.855,84.826,86.595,88.545,88.201,93.592,100.000,105.817,101.487,102.485,98.902,99.212,102.489,103.750,"103.369(u)"
"    94","    Government enterprises",105.807,109.806,110.987,113.398,108.995,107.451,105.184,107.193,107.111,108.978,108.820,107.718,100.000,96.580,93.294,95.421,87.561,85.584,84.115,85.194,"83.132(u)"
"    95","  State and local",80.960,83.961,86.688,88.781,91.933,94.422,94.274,94.681,95.252,96.482,97.921,97.921,100.000,98.477,96.666,96.086,95.936,96.602,98.839,100.570,101.701
"    96","    General government",81.162,84.289,87.040,89.395,92.849,95.250,94.854,95.101,95.676,96.709,98.090,98.169,100.000,98.316,96.313,95.510,95.369,96.190,98.334,99.962,"100.987(u)"
"    97","    Government enterprises",79.303,81.347,83.887,83.936,84.729,87.908,89.722,91.397,91.936,94.699,96.597,95.981,100.000,99.748,99.434,100.609,100.390,99.849,102.808,105.341,"107.296(u)"
"    98","Addenda:","","","","","","","","","","","","","","","","","","","","",""
"    99","    Private goods-producing industries [1]",101.641,106.305,110.357,113.068,109.860,108.828,109.629,112.941,116.849,117.855,118.744,112.712,100.000,102.925,105.278,108.968,111.744,115.084,116.515,117.878,120.046
"    100","    Private services-producing industries [2]",73.376,77.962,83.064,87.860,88.932,89.899,92.607,96.728,101.266,104.001,106.429,105.650,100.000,103.626,106.082,108.889,111.152,115.427,118.719,121.197,125.236
"    101","    Information-communications-technology-producing industries [3]",48.706,57.185,68.100,79.243,79.789,77.208,78.244,81.908,87.183,92.516,99.333,103.949,100.000,106.096,111.909,116.445,120.078,126.746,131.833,139.545,"..."
"Legend / Footnotes:"
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government."
"3. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services."
"(u): Underlying Detail.  All statistics for 2017 are prepared by taking the average of the corresponding quarterly series.  For annual series marked as underlying detail, the quarterly statistics on which these estimates rely are of lower quality and pass through a less rigorous review process than the higher level aggregates in which they are included."
