"Chain-Type Price Indexes for Gross Output by Industry"
"[2009=100]" 
"Bureau of Economic Analysis" 
"Release Date: March 03, 2017"
"Line","","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"    54","  Finance, insurance, real estate, rental, and leasing",10.553,11.352,11.762,12.070,12.784,13.409,14.112,14.353,14.835,15.356,15.861,16.185,16.058,16.595,16.881,17.199,17.518,17.551,17.788,18.468,18.897,19.776,20.549,21.554,22.764,23.925,25.139,26.285,28.461,30.127,32.330,35.037,36.906,39.243,42.239,45.167,48.908,50.742,53.860,56.275,58.227,60.976,63.600,66.517,68.945,71.462,73.198,74.874,77.547,79.910,82.178
"    55","    Finance and insurance",10.342,11.016,11.411,11.730,12.460,13.070,13.729,14.086,14.582,15.147,15.678,16.025,15.613,16.843,17.348,17.962,18.647,18.767,19.271,20.801,21.339,23.082,24.320,25.756,27.715,29.829,31.586,33.112,36.589,38.315,40.575,44.818,45.550,46.396,48.080,50.783,56.675,57.686,61.524,63.515,64.787,67.929,70.974,74.107,77.350,81.171,82.729,83.984,87.353,90.067,92.700
"    56","      Federal Reserve banks, credit intermediation, and related activities","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",19.293,19.551,19.855,21.388,21.884,23.798,25.829,27.430,28.343,30.104,32.892,34.522,39.888,41.509,43.498,47.542,46.604,43.829,43.410,45.659,54.301,53.571,58.570,61.944,63.627,65.778,67.233,69.348,74.499,79.786,80.494,82.284,86.243,90.019,94.829
"    57","      Securities, commodity contracts, and investments","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",30.561,29.699,29.527,33.360,33.348,38.226,40.413,41.712,48.343,54.483,51.252,51.976,60.890,65.915,67.127,81.896,84.558,101.129,110.728,115.929,114.710,107.791,112.347,120.268,118.853,120.370,126.041,128.012,128.540,130.260,124.660,112.355,111.694,110.169,108.889
"    58","      Insurance carriers and related activities","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",14.121,14.222,14.848,15.905,16.461,17.459,17.841,18.940,21.022,22.674,23.633,24.586,25.468,26.953,29.124,31.864,33.336,35.663,38.279,41.107,44.252,47.628,49.969,49.295,50.165,54.084,58.453,62.887,64.385,66.686,70.253,73.671,77.417,80.248,81.975
"    59","      Funds, trusts, and other financial vehicles","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",15.680,15.555,15.869,17.378,17.670,19.346,20.033,20.988,23.789,26.617,28.073,32.011,34.950,34.637,35.834,41.516,45.051,48.659,50.767,49.858,54.921,56.764,58.930,64.555,67.939,70.929,68.688,66.787,70.654,76.435,76.989,79.144,81.315,84.536,87.923
"    60","    Real estate and rental and leasing",10.281,11.107,11.510,11.803,12.485,13.096,13.795,13.977,14.436,14.919,15.395,15.698,15.704,15.903,16.077,16.246,16.386,16.378,16.481,16.748,17.112,17.579,18.119,18.896,19.738,20.456,21.397,22.338,23.891,25.458,27.542,29.492,31.769,34.666,38.135,41.073,43.608,45.853,48.504,51.127,53.453,55.929,58.268,61.007,62.947,64.715,66.511,68.386,70.621,72.743,74.763
"    61","      Real estate",9.744,10.532,10.930,11.205,11.846,12.442,13.121,13.296,13.739,14.197,14.648,14.941,14.948,15.143,15.327,15.511,15.698,15.892,16.029,16.306,16.707,17.159,17.730,18.551,19.419,20.149,21.029,21.932,23.374,24.888,26.963,28.872,31.166,34.082,37.570,40.627,42.994,45.269,47.935,50.657,53.010,55.503,57.870,60.638,62.514,64.228,66.032,67.894,70.093,72.268,74.326
"    62","        Housing","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    63","        Other real estate","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    64","      Rental and leasing services and lessors of intangible assets",17.949,19.287,19.634,20.198,21.516,22.202,23.042,23.312,23.949,24.774,25.594,26.009,25.991,26.201,26.165,26.036,25.361,22.208,21.786,21.849,21.575,22.226,22.243,22.337,22.785,23.318,24.954,26.327,29.261,31.452,33.481,35.865,37.756,40.271,43.392,44.937,49.239,51.113,53.559,55.098,57.095,59.356,61.384,63.804,66.355,68.652,70.345,72.324,74.885,76.497,78.161
"    65","  Professional and business services",9.130,9.644,9.812,10.061,10.719,11.077,11.431,11.710,12.020,12.523,12.889,13.095,13.474,13.706,13.807,14.018,13.942,14.244,14.490,14.812,15.296,15.759,16.447,17.311,18.188,18.711,19.841,21.605,23.909,25.504,27.305,29.085,31.445,34.713,38.537,41.682,44.293,46.354,48.105,49.494,51.361,53.711,55.276,57.489,60.126,62.817,64.899,66.679,68.943,70.870,72.834
