year,industry,description,direction,complements,substitutes,other
2015,711AS,"Performing arts, spectator sports, museums, and related activities",downstream,0.00020105651085951075,0.015324133366846723,0.9844748101222938
2015,711AS,"Performing arts, spectator sports, museums, and related activities",upstream,0.10816422287186925,0.013580227403751928,0.8782555497243788
2015,713,"Amusements, gambling, and recreation industries",downstream,0.037123945094920965,0.009290245158189018,0.95358580974689
2015,713,"Amusements, gambling, and recreation industries",upstream,0.12256425321155053,0.017421276175771078,0.8600144706126784
2015,721,Accommodation,downstream,0.16871974909901058,0.033421238670826636,0.7978590122301628
2015,721,Accommodation,upstream,0.04848189616978425,0.12448006605696475,0.827038037773251
2015,81,"Other services, except government",downstream,0.08878932406819544,0.010258806019275856,0.9009518699125287
2015,81,"Other services, except government",upstream,0.11417937627590893,0.004474798119317691,0.8813458256047734
2015,GFE,Federal government enterprises,downstream,0.018334259156536487,0.0,0.9816657408434635
2015,GFE,Federal government enterprises,upstream,0.06614895737148623,0.026235124926283226,0.9076159177022306
2015,GSLE,State and local government enterprises,downstream,0.019967787075355462,0.0,0.9800322129246445
2015,GSLE,State and local government enterprises,upstream,0.05168388466692889,0.07075604475845074,0.8775600705746204
2015,GSLG,State and local general government,downstream,0.0,0.0,1.0
2015,GSLG,State and local general government,upstream,0.09558593508612169,0.05519857965136434,0.849215485262514
